name,address,city,state,zip,phone,org
Clovis Community Medical Center,2755 Herndon Avenue,Clovis,CA,93611,(559) 324-4000,community_medical_centers
Community Regional Medical Center,2823 Fresno Street,Fresno,CA,93721,(559) 459-6000,community_medical_centers
Fresno Heart & Surgical Hospital,15 E. Audubon Drive,Fresno,CA,93720,(559) 433-8000,community_medical_centers
Community Behavioral Health Center,7171 N. Cedar Avenue,Fresno,CA,93720,(559) 449-8000,community_medical_centers
CMC 747 Channel,747 Channel St,Stockton,CA,95202,(209) 944-4700,cmcenters
CMC California Street Pediatrics,2349 N. California St,Stockton,CA,95204,(209) 469-2229,cmcenters
CMC Channel,701 E. Channel St,Stockton,CA,95202,(209) 944-4700,cmcenters
"Delta College Health Center, Locke Center Room 126",5151 Pacific Ave,Stockton,CA,95207,(209) 636-5000,cmcenters
CMC Dixon,131 W. A St,Dixon,CA,95620,(707) 635-1600,cmcenters
CMC Dorothy L. Jones,2044 Fair St,Stockton,CA,95206,(209) 944-4700,cmcenters
CMC E. March Lane – CareToday,1801 E. March Ln,Stockton,CA,95210,(209) 507-7027,cmcenters
CMC E. March Lane – Primary Care,1801 E. March Lane #D470,Stockton,CA,95210,(209) 469-2229,cmcenters
CMC East Main,2524 E. Main St,Stockton,CA,95205,(209) 466-6871,cmcenters
CMC Gleason House,423 S. San Joaquin St,Stockton,CA,95203,(209) 954-7700,cmcenters
CMC Lawrence,721 Calaveras St,Lodi,CA,95240,(209) 331-8019,cmcenters
CMC Lodi East,1150 S. Cherokee Ln,Lodi,CA,95240,(209) 370-1700,cmcenters
CMC Lodi Turner,2401 W. Turner Rd #450,Lodi,CA,95242,(209) 370-1700,cmcenters
CMC Lodi Vine Family Care,2415 W. Vine St,Lodi,CA,95242,(209) 333-3121,cmcenters
CMC Lodi Vine Pediatrics,2415 W. Vine St,Lodi,CA,95242,(209) 333-3135,cmcenters
CMC Manteca,200 Cottage Ave,Manteca,CA,95336,(209) 624-5800,cmcenters
CMC Mariposa,2015 E. Mariposa Rd,Stockton,CA,95205,(209) 751-1900,cmcenters
CMC Respite Center (Medical),201 N. Stanislaus St #101,Stockton,CA,95202,(209) 762-5000,cmcenters
CMC St. Mary’s,545 W. Sonora St Bldg #1,Stockton,CA,95203,(209) 337-3298,cmcenters
CMC Sutter Street,1800 S. Sutter St Bldg 11B,Stockton,CA,95206,(209) 944-4700,cmcenters
CMC Tracy Central,730 N. Central Ave,Tracy,CA,95376,(209) 650-4000,cmcenters
CMC Tracy Dental,2135 N. Tracy Blvd,Tracy,CA,95376,(209) 636-5555,cmcenters
CMC Tracy Grant Line,2151 W. Grant Line Rd,Tracy,CA,95377,(209) 820-1500,cmcenters
CMC TUSD Student Wellness Center,"164 W. Grant Line Road Bldg 001, Portable Office/Room 8",Tracy,CA,95376,(209) 469-2229,cmcenters
CMC Vacaville,600 Nut Tree Rd #310,Vacaville,CA,95687,(707) 359-1800,cmcenters
CMC Vacaville Dental,600 Nut Tree Rd #120,Vacaville,CA,95687,(209) 636-5555,cmcenters
CMC Vacaville Pediatrics,600 Nut Tree Road #210,Vacaville,CA,95687,(707) 359-1800,cmcenters
CMC Waterloo,1031 Waterloo Rd,Stockton,CA,95205,(209) 940-5600,cmcenters
CMC Weberstown Dental,83 W. March Ln #2,Stockton,CA,95207,(209) 636-5555,cmcenters
CMC Weberstown Medical,87 W. March Ln,Stockton,CA,95207,(209) 636-5555,cmcenters
CMC West Lane,7912 West Ln #221,Stockton,CA,95210,(209) 636-5000,cmcenters